List_Type,name,team,position,Years_Exp,Proj_Goals_30g,Proj_Assists_30g,Proj_Goals_82g,Proj_Assists_82g,playerId,season,4on5_goals,5on4_goals,5on5_goals,all_goals,4on5_hits,5on4_hits,5on5_hits,all_hits,4on5_points,5on4_points,5on5_points,all_points,4on5_primaryAssists,5on4_primaryAssists,5on5_primaryAssists,all_primaryAssists,4on5_shotAttempts,5on4_shotAttempts,5on5_shotAttempts,all_shotAttempts,4on5_xGoals,5on4_xGoals,5on5_xGoals,all_xGoals,4on5_icetime,5on4_icetime,5on5_icetime,all_icetime,4on5_blocks,5on4_blocks,5on5_blocks,all_blocks,all_assists,all_icetime_mins,all_goals_p60,all_assists_p60,all_points_p60,5on5_xGoals_p60,5on4_points_p60,all_hits_p60,all_blocks_p60,all_shots_p60,Cluster,games_played,Mins_Per_Game,Pred_Goals_p60,Pred_Assists_p60
Veterans (6 + Years) - Goals (30 Games),David Pastrnak,BOS,R,11,14.021165954407726,23.69710286203627,38.32452027538112,64.77208115623247,8477956,2024,0.0,7.0,25.0,43.0,0.0,2.0,53.0,58.0,0.0,19.0,66.0,106.0,0.0,5.0,30.0,45.0,0.0,142.0,405.0,624.0,0.0,5.97,16.74,30.39,151.0,16126.0,77678.0,99316.0,0.0,0.0,20.0,24.0,63.0,1655.2666666666667,1.558661242901446,2.283619960530025,3.8422812034314715,0.7758181209608898,4.24159742031502,2.1023802811228807,0.8699504611542954,22.61871199001168,4,82,20.18617886178862,1.3891847536285393,2.3478542446578285
Veterans (6 + Years) - Goals (30 Games),Auston Matthews,TOR,C,9,13.965238480670871,15.35697291343478,38.17165184716705,41.9757259633884,8479318,2024,2.0,10.0,15.0,33.0,0.0,0.0,43.0,45.0,2.0,24.0,38.0,78.0,0.0,8.0,14.0,27.0,10.0,103.0,310.0,480.0,0.75,10.61,19.43,41.05,6200.0,11530.0,58539.0,82298.0,0.0,13.0,64.0,89.0,45.0,1371.6333333333334,1.4435344722836523,1.9684560985686166,3.4119905708522684,1.1948957105519398,7.493495229835212,1.9684560985686166,3.8931687282801524,20.996865051398576,4,67,20.47213930348259,1.3643164765194027,1.5002802282438896
Veterans (6 + Years) - Goals (30 Games),Nikita Kucherov,TBL,R,11,13.927016193444494,29.674597450250722,38.06717759541495,81.11056636401864,8476453,2024,0.0,6.0,24.0,37.0,0.0,3.0,19.0,23.0,0.0,39.0,61.0,121.0,0.0,20.0,23.0,56.0,0.0,115.0,371.0,550.0,0.0,4.46,17.02,27.03,21.0,16575.0,77178.0,99167.0,0.0,0.0,31.0,33.0,84.0,1652.7833333333333,1.3431887623907146,3.0494015146167577,4.392590277007472,0.7939049988338646,8.470588235294118,0.8349551766212551,1.1979791664565833,19.966319440943057,4,78,21.189529914529913,1.314518656111816,2.800873598418292
Veterans (6 + Years) - Goals (30 Games),Kyle Connor,WPG,L,9,13.76507604266616,16.857829959693614,37.624541183287505,46.07806855649588,8478398,2024,1.0,6.0,26.0,41.0,1.0,1.0,19.0,21.0,1.0,24.0,51.0,97.0,0.0,8.0,14.0,31.0,10.0,86.0,327.0,484.0,0.98,6.16,17.5,30.19,3828.0,12864.0,78289.0,100342.0,0.0,6.0,34.0,46.0,56.0,1672.3666666666666,1.4709692850451457,2.0091287795738575,3.480098064619003,0.8047107511910996,6.7164179104477615,0.7534232923401964,1.6503557832213829,17.364613023459768,4,82,20.39471544715447,1.3498669376715136,1.6531566722148767
Veterans (6 + Years) - Goals (30 Games),Mikko Rantanen,DAL,R,10,13.593062329605553,15.115863250918126,37.15437036758851,41.316692885842876,8478420,2024,0.0,10.0,12.0,32.0,0.0,4.0,41.0,48.0,0.0,24.0,39.0,88.0,0.0,6.0,19.0,34.0,0.0,118.0,276.0,444.0,0.0,8.7,18.58,36.26,60.0,18046.0,79609.0,104546.0,0.0,0.0,43.0,44.0,56.0,1742.4333333333334,1.101907294396725,1.9283377651942686,3.0302450595909938,0.8402065093142734,4.787764601573756,1.6528609415950875,1.5151225297954969,15.288963709754558,4,82,21.24918699186992,1.2793959914613533,1.4227239147268604
Veterans (6 + Years) - Goals (30 Games),Artemi Panarin,NYR,L,10,13.471606015782438,16.382627754255946,36.822389776471994,44.779182528299586,8478550,2024,0.0,6.0,25.0,37.0,0.0,1.0,17.0,18.0,0.0,24.0,55.0,89.0,0.0,8.0,15.0,27.0,1.0,145.0,355.0,586.0,0.04,5.76,12.75,25.37,84.0,13927.0,74997.0,94479.0,0.0,0.0,9.0,11.0,52.0,1574.65,1.4098371066586226,1.9813926904391455,3.391229797097768,0.6120244809792391,6.203776836361025,0.6858667005366272,0.41914076143904994,22.32877147302575,4,80,19.683125,1.3688482916998634,1.6646368657675998
Veterans (6 + Years) - Assists (30 Games),Nathan MacKinnon,COL,C,12,14.614657051611537,31.24888725892568,39.94672927440487,85.41362517439686,8477492,2024,0.0,8.0,15.0,32.0,0.0,2.0,34.0,38.0,0.0,35.0,53.0,116.0,0.0,16.0,23.0,53.0,0.0,117.0,398.0,590.0,0.0,5.03,17.95,29.52,202.0,17266.0,82638.0,107989.0,0.0,1.0,51.0,58.0,84.0,1799.8166666666666,1.0667753197084888,2.800285214234783,3.8670605339432718,0.7819647135700283,7.297579057106452,1.2667956921538306,1.9335302669716359,19.668669957125264,4,79,22.782489451476792,1.2829727921295446,2.7432372854143985
Veterans (6 + Years) - Assists (30 Games),Nikita Kucherov,TBL,R,11,13.927016193444494,29.674597450250722,38.06717759541495,81.11056636401864,8476453,2024,0.0,6.0,24.0,37.0,0.0,3.0,19.0,23.0,0.0,39.0,61.0,121.0,0.0,20.0,23.0,56.0,0.0,115.0,371.0,550.0,0.0,4.46,17.02,27.03,21.0,16575.0,77178.0,99167.0,0.0,0.0,31.0,33.0,84.0,1652.7833333333333,1.3431887623907146,3.0494015146167577,4.392590277007472,0.7939049988338646,8.470588235294118,0.8349551766212551,1.1979791664565833,19.966319440943057,4,78,21.189529914529913,1.314518656111816,2.800873598418292
Veterans (6 + Years) - Assists (30 Games),Elias Pettersson,VAN,C,7,15.97906657170226,29.232563538655842,43.67611529598618,79.90234033899263,8480012,2024,0.0,6.0,7.0,15.0,1.0,0.0,71.0,74.0,0.0,14.0,23.0,45.0,0.0,6.0,8.0,19.0,3.0,65.0,159.0,251.0,0.28,2.66,8.17,13.01,2430.0,11252.0,53633.0,71656.0,0.0,4.0,64.0,77.0,30.0,1194.2666666666667,0.7536005358937145,1.507201071787429,2.260801607681143,0.5483937128260586,4.479203697120512,3.7177626437423243,3.8684827509210673,12.610248967288154,4,28,42.65238095238095,0.7492696170721167,1.370735367448415
Veterans (6 + Years) - Assists (30 Games),Connor McDavid,EDM,C,10,12.430614758277882,27.089774787905387,33.977013672626214,74.04538442027473,8478402,2024,0.0,8.0,15.0,26.0,0.0,1.0,37.0,40.0,0.0,27.0,51.0,100.0,0.0,15.0,23.0,50.0,0.0,82.0,259.0,370.0,0.0,6.67,17.14,26.91,322.0,12726.0,70524.0,88566.0,0.0,0.0,11.0,18.0,74.0,1476.1,1.0568389675496241,3.007926292256622,4.064765259806246,0.8749361919346607,7.637906647807638,1.6259061039224985,0.7316577467651243,15.039631461283111,4,67,22.03134328358209,1.1284481929471148,2.459203185136049
